Sector_LB,Sector_UB,Sigma_Max,ESG_Min,L_Min,Optimization_Successful,Message,Optimal_Weights,Portfolio_Return,Portfolio_Risk,Sharpe_Ratio
0.1,0.2,0.01,35,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,35,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,35,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,35,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,35,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,35,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,50,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,50,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,50,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,50,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,50,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,50,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,65,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,65,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,65,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,65,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,65,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,65,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,80,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,80,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,80,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,80,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,80,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.01,80,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,35,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,35,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,35,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,35,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,35,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,35,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,50,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,50,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,50,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,50,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,50,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,50,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,65,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,65,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,65,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,65,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,65,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,65,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,80,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,80,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,80,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,80,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.060000000000000005,80,360000,False,Positive directional derivative for linesearch,,,,
