Date  ,ITC,INFY,TATACOMM,FORTIS,ICICIBANK,ADANIPOWER,JUBLPHARMA,ZENSARTECH,RPOWER,RBLBANK
1-Apr-19,297.25,755.1,610.55,136.6,398.25,48.7,670.6,230.6,10.95,679.8
2-Apr-19,297.9,759.4,604.85,137.05,397.15,50.05,685.9,232.9,10.75,678.75
3-Apr-19,296.15,753.3,599,136.4,392.1,49.4,699.25,230.1,10.45,663.05
4-Apr-19,294.8,747.9,595.75,136.8,388.75,47.95,718.8,231.2,10.3,649.25
5-Apr-19,294.55,759.3,603.55,136.75,390.55,49.85,708.9,230.9,10.5,671.05
8-Apr-19,292.75,767.25,592.45,135.15,387.1,50.2,699.75,231.3,10.2,655.95
9-Apr-19,296.3,760.6,582.05,135.65,397.15,50.15,680.6,233.85,9.85,668.1
10-Apr-19,294.7,752.7,580.7,135.75,394.2,49.05,686.85,230.25,9.9,674.05
11-Apr-19,296.4,742.7,586.3,136.65,390.05,50.45,688.25,230.35,9.65,664.6
12-Apr-19,305.75,747.75,582.85,138.75,394.6,53.2,691.7,231.65,9.5,667.35
15-Apr-19,305.5,727.5,580.85,141.1,392.75,54.6,690,233.9,9.55,668.8
16-Apr-19,307.2,724.1,578.1,141.15,407,54.35,691.8,241.3,9.45,680.3
18-Apr-19,304.4,717.05,572.3,140.4,404.4,54.15,704.45,238.1,8.2,675.45
22-Apr-19,301.8,721.05,578.8,139.55,394.5,50.85,681.15,231.9,7.9,681.1
23-Apr-19,303.4,728.2,577.6,139.5,396.5,51.1,688.05,231.15,7.65,673.35
24-Apr-19,306.45,736.45,577,139.15,401.1,52.7,687.3,233.6,7.75,672.75
25-Apr-19,304.15,728.55,571.45,138.95,395.4,50.7,673.65,232.1,7.9,665.95
26-Apr-19,304.55,738,564.15,139.1,407.2,48.4,657.35,231.05,7.35,669.9
30-Apr-19,301.35,751.35,561.15,138.55,407.5,44.9,660.85,234.65,6.05,678.85
2-May-19,305,730.8,571.1,137.85,395.55,44.45,654.1,246.25,5.35,662.45
3-May-19,304.25,723.6,552,137.75,401.8,43.85,651.5,246.1,6.45,672.2
6-May-19,307,718.4,563.8,136.35,401.3,42.8,638.1,239.05,6.6,664.05
7-May-19,301.9,724.55,567.65,135.2,386.5,41.5,638.5,242.5,6.05,665.95
8-May-19,300.65,719.35,559,133.6,382.2,41.35,614.1,247.55,5.85,652.8
9-May-19,299.85,721.05,553.05,133,381.4,40.95,616.05,246.9,6.15,661.85
10-May-19,297.75,716.85,557.85,131.9,385.1,41.45,617.3,242.15,6.15,675
13-May-19,289.3,719.7,545.45,129.7,376.3,38.45,603.55,237.65,5.7,659.5
14-May-19,294.35,713.85,549.4,129.6,380.4,40.8,604.25,242.9,6,651.2
15-May-19,297.05,716.1,549.95,128.45,377.05,38.65,607.6,247.1,5.75,652.25
16-May-19,294.75,733.1,540.4,128,382.5,40.3,622.6,246.5,5.85,632.9
17-May-19,301.4,723.9,553.05,126.9,389.7,40.65,595.5,247.1,6,655.75
20-May-19,307,722.4,555.2,126.75,407.7,46.75,565.15,245.9,7.05,680.25
21-May-19,305.9,709.3,544.45,125.8,400.15,46,537.85,249.2,6.95,669.9
22-May-19,299.75,709.75,534.35,125.95,405.35,46.7,520.25,245.8,7.75,666.85
23-May-19,288.2,701.05,531.2,125.85,410.85,46.65,517.1,245,7.65,674.05
24-May-19,290.45,709.2,550.05,125.45,431.75,46.8,515.1,245.1,7.55,667.5
27-May-19,290.85,708.1,552.95,128.25,435.5,49.1,537.4,245.5,7.5,698.3
28-May-19,288.9,728.1,554.65,127.25,434.3,49,512.35,247.8,8.1,701.45
29-May-19,288.1,727.8,545.3,126.5,423.3,48.35,501.65,245.8,7.85,686.05
30-May-19,288.65,733.55,549.45,126.15,426.2,51.55,507.2,248.2,7.4,692.3
31-May-19,278.55,737.75,541,125.3,423.7,50.35,495.25,250,7.45,687.35
3-Jun-19,278.55,744.65,540.5,124.95,422.9,50.35,488.3,251.9,7.3,695.6
4-Jun-19,279.25,735.3,537.6,124,419.1,50.3,460.25,254,7,691.25
6-Jun-19,275.75,735.6,529.35,122.15,411.55,48.2,470.8,250.1,6.6,667.1
7-Jun-19,275.25,739.1,524.8,122.45,416.6,47.35,476.05,251.5,6.15,668.55
10-Jun-19,279.4,753.5,505.3,127.25,416.1,47.35,479.75,251.8,5.75,669.65
11-Jun-19,279.85,754.9,506.1,132.55,421.35,48.25,476.85,260.35,5.95,669.45
12-Jun-19,279.95,753.8,491.45,131.15,418,49.1,478.45,255.7,6,658.6
13-Jun-19,280.6,742.65,490.35,131.2,419.6,48.35,478.95,255.45,5.6,639.15
14-Jun-19,278.05,740.45,493.55,131,417.75,48.5,471.8,256,5.4,625.9
17-Jun-19,275,740.55,499.95,129.55,414.2,46.75,471.6,250.8,5.3,621.3
18-Jun-19,275.1,750.15,500.55,131.05,422.15,46.85,481.6,251.65,4.55,626.85
19-Jun-19,277.2,751.9,500.05,132.75,419.8,46.7,469.5,251.05,4.2,623.2
20-Jun-19,277,754.9,497.8,131.15,433.4,47.5,479.6,254,5.25,624.4
21-Jun-19,274.25,750.2,486.8,129.2,430.8,47.9,472.85,255.2,5.45,611.95
24-Jun-19,276.25,745.5,479.1,129.25,429.45,50.15,479.45,259.9,4.6,618.5
